Instance    SplitMode    OrderMode    Decrescent      Exec. Time    Solution Quality %    Busy %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %
BKW11       NONE         NONE         False            85.2723                 88.9524   88.9524  11.0476          300             297                3           99                1
BKW12       NONE         AREA         True            248.871                  99.51     99.51     0.49            500             499                1           99.8              0.2
BKW12       NONE         AREA         False           352.207                  76.57     76.57    23.43            500             494                6           98.8              1.2
BKW12       NONE         PERIMETER    True            247.681                 100       100        0               500             500                0          100                0
BKW12       NONE         PERIMETER    False           358.05                   81.1567   81.1567  18.8433          500             495                5           99                1
BKW12       NONE         HEIGHT       True            237.918                 100       100        0               500             500                0          100                0
BKW12       NONE         HEIGHT       False           321.476                  62.8067   62.8067  37.1933          500             483               17           96.6              3.4
BKW12       NONE         WIDTH        True            261.39                  100       100        0               500             500                0          100                0
BKW12       NONE         WIDTH        False           374                      92.6633   92.6633   7.33667         500             497                3           99.4              0.6
BKW12       NONE         NONE         True            292.6                    95.4267   95.4267   4.57333         500             498                2           99.6              0.4
BKW12       NONE         NONE         False           291.377                  95.4267   95.4267   4.57333         500             498                2           99.6              0.4
BKW01       NONE         AREA         True              0.749123              100       100        0                10              10                0          100                0
BKW01       NONE         AREA         False             0.658613               60        60       40                10               9                1           90               10
BKW01       NONE         PERIMETER    True              0.741807              100       100        0                10              10                0          100                0
BKW01       NONE         PERIMETER    False             0.682471               60        60       40                10               9                1           90               10
BKW01       NONE         HEIGHT       True              0.645385               60        60       40                10               9                1           90               10
BKW01       NONE         HEIGHT       False             0.675988               60        60       40                10               9                1           90               10
BKW01       NONE         WIDTH        True              0.754297              100       100        0                10              10                0          100                0
BKW01       NONE         WIDTH        False             0.662109               60        60       40                10               9                1           90               10
BKW01       NONE         NONE         True              0.515069               52.75     52.75    47.25             10               7                3           70               30
BKW01       NONE         NONE         False             0.518636               52.75     52.75    47.25             10               7                3           70               30
BKW01       NONE         AREA         True              0.693382              100       100        0                10              10                0          100                0
BKW01       NONE         AREA         False             0.639799               60        60       40                10               9                1           90               10
BKW01       NONE         PERIMETER    True              0.704343              100       100        0                10              10                0          100                0
BKW01       NONE         PERIMETER    False             0.63281                60        60       40                10               9                1           90               10
BKW01       NONE         HEIGHT       True              0.616606               60        60       40                10               9                1           90               10
BKW01       NONE         HEIGHT       False             0.638116               60        60       40                10               9                1           90               10
BKW01       NONE         WIDTH        True              0.694805              100       100        0                10              10                0          100                0
BKW01       NONE         WIDTH        False             0.648449               60        60       40                10               9                1           90               10
BKW01       NONE         ID           True              0.607464               60        60       40                10               9                1           90               10
BKW01       NONE         ID           False             0.514266               52.75     52.75    47.25             10               7                3           70               30
BKW01       NONE         AREA         True              0.704014              100       100        0                10              10                0          100                0
BKW01       NONE         AREA         False             0.630567               60        60       40                10               9                1           90               10
BKW01       NONE         PERIMETER    True              0.695239              100       100        0                10              10                0          100                0
BKW01       NONE         PERIMETER    False             0.625756               60        60       40                10               9                1           90               10
BKW01       NONE         HEIGHT       True              0.630977               60        60       40                10               9                1           90               10
BKW01       NONE         HEIGHT       False             0.637145               60        60       40                10               9                1           90               10
BKW01       NONE         WIDTH        True              0.704721              100       100        0                10              10                0          100                0
BKW01       NONE         WIDTH        False             0.640334               60        60       40                10               9                1           90               10
BKW01       NONE         ID           True              0.598103               60        60       40                10               9                1           90               10
BKW01       NONE         ID           False             0.569494               52.75     52.75    47.25             10               7                3           70               30
BKW01       NONE         AREA         True              0.697128              100       100        0                10              10                0          100                0
BKW01       NONE         AREA         False             0.629967               60        60       40                10               9                1           90               10
BKW01       NONE         PERIMETER    True              0.724844              100       100        0                10              10                0          100                0
BKW01       NONE         PERIMETER    False             0.632884               60        60       40                10               9                1           90               10
BKW01       NONE         HEIGHT       True              0.607164               60        60       40                10               9                1           90               10
BKW01       NONE         HEIGHT       False             0.626567               60        60       40                10               9                1           90               10
BKW01       NONE         WIDTH        True              0.690551              100       100        0                10              10                0          100                0
BKW01       NONE         WIDTH        False             0.636807               60        60       40                10               9                1           90               10
BKW01       NONE         ID           True              0.600683               60        60       40                10               9                1           90               10
BKW01       NONE         ID           False             0.511271               52.75     52.75    47.25             10               7                3           70               30
