Instance    SplitMode     OrderMode    Decrescent      Exec. Time    Solution Quality %     Busy %    Free %    Nº Items    Inside Items    Outside Items    Inside Items %    Outside Items %
BKW01       HORIZONTALLY  HEIGHT       False             0.573979              12.75      12.75     87.25             10               6                4           60                40
BKW01       HORIZONTALLY  WIDTH        True              0.740239              88.75      88.75     11.25             10               8                2           80                20
BKW01       HORIZONTALLY  WIDTH        False             0.655517              24         24        76                10               8                2           80                20
BKW01       HORIZONTALLY  NONE         True              0.567766              52.75      52.75     47.25             10               7                3           70                30
BKW01       HORIZONTALLY  NONE         False             0.613818              52.75      52.75     47.25             10               7                3           70                30
BKW01       HORIZONTALLY  AREA         True              0.756842             100        100         0                10              10                0          100                 0
BKW01       HORIZONTALLY  AREA         False             0.463938              12.75      12.75     87.25             10               6                4           60                40
BKW01       HORIZONTALLY  PERIMETER    True              0.776609             100        100         0                10              10                0          100                 0
BKW01       HORIZONTALLY  PERIMETER    False             0.473191              12.75      12.75     87.25             10               6                4           60                40
BKW01       HORIZONTALLY  HEIGHT       True              0.772139             100        100         0                10              10                0          100                 0
BKW01       HORIZONTALLY  HEIGHT       False             0.475977              12.75      12.75     87.25             10               6                4           60                40
BKW01       HORIZONTALLY  WIDTH        True              0.644213              88.75      88.75     11.25             10               8                2           80                20
BKW01       HORIZONTALLY  WIDTH        False             0.63857               24         24        76                10               8                2           80                20
BKW01       HORIZONTALLY  ID           True              0.552087              17.75      17.75     82.25             10               7                3           70                30
BKW01       HORIZONTALLY  ID           False             0.575356              52.75      52.75     47.25             10               7                3           70                30
BKW01       HORIZONTALLY  AREA         True              0.785771             100        100         0                10              10                0          100                 0
BKW01       HORIZONTALLY  AREA         False             0.478918              12.75      12.75     87.25             10               6                4           60                40
BKW01       HORIZONTALLY  PERIMETER    True              0.773259             100        100         0                10              10                0          100                 0
BKW01       HORIZONTALLY  PERIMETER    False             0.488453              12.75      12.75     87.25             10               6                4           60                40
BKW01       HORIZONTALLY  HEIGHT       True              0.783462             100        100         0                10              10                0          100                 0
BKW01       HORIZONTALLY  HEIGHT       False             0.477356              12.75      12.75     87.25             10               6                4           60                40
BKW01       HORIZONTALLY  WIDTH        True              0.668705              88.75      88.75     11.25             10               8                2           80                20
BKW01       HORIZONTALLY  WIDTH        False             0.636232              24         24        76                10               8                2           80                20
BKW01       HORIZONTALLY  ID           True              0.566904              17.75      17.75     82.25             10               7                3           70                30
BKW01       HORIZONTALLY  ID           False             0.610401              52.75      52.75     47.25             10               7                3           70                30
BKW01       HORIZONTALLY  AREA         True              0.770063             100        100         0                10              10                0          100                 0
BKW01       HORIZONTALLY  AREA         False             0.50335               12.75      12.75     87.25             10               6                4           60                40
BKW01       HORIZONTALLY  PERIMETER    True              0.754919             100        100         0                10              10                0          100                 0
BKW01       HORIZONTALLY  PERIMETER    False             0.465665              12.75      12.75     87.25             10               6                4           60                40
BKW01       HORIZONTALLY  HEIGHT       True              0.760259             100        100         0                10              10                0          100                 0
BKW01       HORIZONTALLY  HEIGHT       False             0.466104              12.75      12.75     87.25             10               6                4           60                40
BKW01       HORIZONTALLY  WIDTH        True              0.635632              88.75      88.75     11.25             10               8                2           80                20
BKW01       HORIZONTALLY  WIDTH        False             0.625052              24         24        76                10               8                2           80                20
BKW01       HORIZONTALLY  ID           True              0.554193              17.75      17.75     82.25             10               7                3           70                30
BKW01       HORIZONTALLY  ID           False             0.577065              52.75      52.75     47.25             10               7                3           70                30
